PUBLICATION,SCENARIO,CATEGORY,PRODUCT,FLOW,UNIT,REGION,YEAR,VALUE
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,World,2023,1.286
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,World,2030,3.97
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,World,2035,5.965
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,World,2040,7.989
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,World,2050,12.055
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,World,2023,1.286
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,World,2030,6.365
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,World,2035,8.847
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,World,2040,10.502
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,World,2050,12.429
World Energy Outlook 2024,Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,World,2010,20.818
World Energy Outlook 2024,Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,World,2022,19.106
World Energy Outlook 2024,Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,World,2023,19.123
World Energy Outlook 2024,Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,World,2030,14.585
World Energy Outlook 2024,Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,World,2035,13.374
World Energy Outlook 2024,Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,World,2040,12.046
World Energy Outlook 2024,Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,World,2050,9.693
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,World,2023,19.123
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,World,2030,6.425
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,World,2035,4.688
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,World,2040,3.33
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,World,2050,2.173
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,World,2023,19.123
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,World,2030,0
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,World,2035,0
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,World,2040,0
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,World,2050,0
World Energy Outlook 2024,Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,World,2010,30.091
World Energy Outlook 2024,Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,World,2022,29.309
World Energy Outlook 2024,Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,World,2023,30.193
World Energy Outlook 2024,Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,World,2030,35.845
World Energy Outlook 2024,Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,World,2035,41.169
World Energy Outlook 2024,Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,World,2040,44.664
World Energy Outlook 2024,Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,World,2050,49.205
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Nuclear,Total energy supply,EJ,World,2023,30.193
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Nuclear,Total energy supply,EJ,World,2030,38.587
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Nuclear,Total energy supply,EJ,World,2035,49.381
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Nuclear,Total energy supply,EJ,World,2040,59.01
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Nuclear,Total energy supply,EJ,World,2050,69.093
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Nuclear,Total energy supply,EJ,World,2023,30.193
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Nuclear,Total energy supply,EJ,World,2030,43.975
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Nuclear,Total energy supply,EJ,World,2035,58.988
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Nuclear,Total energy supply,EJ,World,2040,70.191
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Nuclear,Total energy supply,EJ,World,2050,78.434
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,World,2010,114.586
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,World,2022,144.377
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,World,2023,145.065
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,World,2030,153.325
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,World,2035,153.06
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,World,2040,152.074
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,World,2050,151.595
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Natural gas,Total energy supply,EJ,World,2023,145.065
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Natural gas,Total energy supply,EJ,World,2030,138.416
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Natural gas,Total energy supply,EJ,World,2035,120.886
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Natural gas,Total energy supply,EJ,World,2040,106.166
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Natural gas,Total energy supply,EJ,World,2050,85.878
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Natural gas,Total energy supply,EJ,World,2023,145.065
