SCENARIO,CATEGORY,PRODUCT,FLOW,UNIT,YEAR,VALUE
Announced Pledges Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2035,4.688
Announced Pledges Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2040,3.33
Announced Pledges Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2050,2.173
Net Zero Emissions by 2050 Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2023,19.123
Net Zero Emissions by 2050 Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2030,0
Net Zero Emissions by 2050 Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2035,0
Net Zero Emissions by 2050 Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2040,0
Net Zero Emissions by 2050 Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2050,0
Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,2010,30.091
Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,2022,29.309
Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,2023,30.193
Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,2030,35.845
Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,2035,41.169
Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,2040,44.664
Stated Policies Scenario,Energy,Nuclear,Total energy supply,EJ,2050,49.205
Announced Pledges Scenario,Energy,Nuclear,Total energy supply,EJ,2023,30.193
Announced Pledges Scenario,Energy,Nuclear,Total energy supply,EJ,2030,38.587
Announced Pledges Scenario,Energy,Nuclear,Total energy supply,EJ,2035,49.381
Announced Pledges Scenario,Energy,Nuclear,Total energy supply,EJ,2040,59.01
Announced Pledges Scenario,Energy,Nuclear,Total energy supply,EJ,2050,69.093
Net Zero Emissions by 2050 Scenario,Energy,Nuclear,Total energy supply,EJ,2023,30.193
Net Zero Emissions by 2050 Scenario,Energy,Nuclear,Total energy supply,EJ,2030,43.975
Net Zero Emissions by 2050 Scenario,Energy,Nuclear,Total energy supply,EJ,2035,58.988
Net Zero Emissions by 2050 Scenario,Energy,Nuclear,Total energy supply,EJ,2040,70.191
Net Zero Emissions by 2050 Scenario,Energy,Nuclear,Total energy supply,EJ,2050,78.434
Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,2010,114.586
Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,2022,144.377
Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,2023,145.065
Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,2030,153.325
Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,2035,153.06
Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,2040,152.074
Stated Policies Scenario,Energy,Natural gas,Total energy supply,EJ,2050,151.595
Announced Pledges Scenario,Energy,Natural gas,Total energy supply,EJ,2023,145.065
Announced Pledges Scenario,Energy,Natural gas,Total energy supply,EJ,2030,138.416
Announced Pledges Scenario,Energy,Natural gas,Total energy supply,EJ,2035,120.886
Announced Pledges Scenario,Energy,Natural gas,Total energy supply,EJ,2040,106.166
Announced Pledges Scenario,Energy,Natural gas,Total energy supply,EJ,2050,85.878
Net Zero Emissions by 2050 Scenario,Energy,Natural gas,Total energy supply,EJ,2023,145.065
Net Zero Emissions by 2050 Scenario,Energy,Natural gas,Total energy supply,EJ,2030,125.885
Net Zero Emissions by 2050 Scenario,Energy,Natural gas,Total energy supply,EJ,2035,78.555
Net Zero Emissions by 2050 Scenario,Energy,Natural gas,Total energy supply,EJ,2040,53.095
Net Zero Emissions by 2050 Scenario,Energy,Natural gas,Total energy supply,EJ,2050,30.694
Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2010,108.745
Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2022,136.378
Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2023,136.932
Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2030,143.635
Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2035,142.354
Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2040,140.424
Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2050,138.754
Announced Pledges Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2023,136.932
Announced Pledges Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2030,127.736
Announced Pledges Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2035,107.597
Announced Pledges Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2040,90.393
Announced Pledges Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2050,64.624
Net Zero Emissions by 2050 Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2023,136.932
Net Zero Emissions by 2050 Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2030,112.798
Net Zero Emissions by 2050 Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2035,61.786
Net Zero Emissions by 2050 Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2040,32.357
Net Zero Emissions by 2050 Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,2050,7.219
Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2010,0.267
Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2022,0.548
Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2023,0.512
Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2030,1.038
Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2035,1.531
Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2040,2.068
Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2050,2.669
Announced Pledges Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2023,0.512
Announced Pledges Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2030,2.472
Announced Pledges Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2035,4.823
Announced Pledges Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2040,7.206
Announced Pledges Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2050,12.804
Net Zero Emissions by 2050 Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2023,0.512
Net Zero Emissions by 2050 Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2030,5.178
Net Zero Emissions by 2050 Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2035,8.886
Net Zero Emissions by 2050 Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2040,13.061
Net Zero Emissions by 2050 Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,2050,16.682
